quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
93	1.0	32	32	0	0	3/4	2	1	I(974)}	F	I		I(974)	I			974			}	M	0	0	0, -1, 1	2, 5	0	0
94	2.0	32	32	1/4	1/4	3/4	2	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
96	3.0	33	33	0	0	3/4	2	1	V.I{	F	V		I	I						{	M	0	0	0, 4, 1		0	0
99	1.0	34	34	0	0	3/4	2	1	viio6(2)	F	V		viio6(2)	vii	o	6	2				o	0	0	2, -1, 0		5	2
100	2.0	34	34	1/4	1/4	3/4	2	1	viio6	F	V		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
102	3.0	35	35	0	0	3/4	2	1	V7	F	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
105	1.0	36	36	0	0	3/4	2	1	I(#2)}	F	V		I(#2)	I			#2			}	M	0	0	0, 9, 1		0	0
106	1.0	36	36	1/4	1/4	3/4	2	1	I	F	V		I	I							M	0	0	0, 4, 1		0	0
107	1.0	36	36	1/2	1/2	3/4	2	1	I6{	F	V		I6	I		6				{	M	0	0	4, 1, 0		0	4
108	1.5	37	37	0	0	3/4	2	1	ii65	F	V		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
219/2	0.5	37	37	3/8	3/8	3/4	2	1	viio7/V	F	V		viio7/V	vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
110	1.0	37	37	1/2	1/2	3/4	2	1	V(64)	F	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
111	1.5	38	38	0	0	3/4	2	1	IV6	F	V		IV6	IV		6					M	0	0	3, 0, -1		-1	3
225/2	0.5	38	38	3/8	3/8	3/4	2	1	viio6/V	F	V		viio6/V	vii	o	6		V			o	0	0	3, 0, 6		6	3
113	1.0	38	38	1/2	1/2	3/4	2	1	V65/IV	F	V		V65/IV	V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
114	0.5	39	39	0	0	3/4	2	1	IV	F	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
229/2	0.5	39	39	1/8	1/8	3/4	2	1	ii6	F	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
115	1.0	39	39	1/4	1/4	3/4	2	1	V(64)	F	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
116	1.0	39	39	1/2	1/2	3/4	2	1	V7	F	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
117	2.0	40	40	0	0	3/4	2	1	I}{	F	V		I	I						}{	M	0	0	0, 4, 1		0	0
119	0.5	40	40	1/2	1/2	3/4	2	1	I.I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
239/2	0.5	40	40	5/8	5/8	3/4	2	1	V2/vi	F	I		V2/vi	V		2		vi			Mm7	0	0	2, 4, 8, 5		4	2
120	0.5	41	41	0	0	3/4	2	1	V65/ii	F	I		V65/ii	V		65		ii			Mm7	0	0	7, 4, 1, 3		3	7
241/2	0.5	41	41	1/8	1/8	3/4	2	1	V7/ii	F	I		V7/ii	V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
121	1.0	41	41	1/4	1/4	3/4	2	1	ii6	F	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
122	0.5	41	41	1/2	1/2	3/4	2	1	ii	F	I		ii	ii							m	0	0	2, -1, 3		2	2
245/2	0.5	41	41	5/8	5/8	3/4	2	1	IV64	F	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0
123	0.5	42	42	0	0	3/4	2	1	V65	F	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
247/2	0.5	42	42	1/8	1/8	3/4	2	1	V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
124	1.0	42	42	1/4	1/4	3/4	2	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
125	0.5	42	42	1/2	1/2	3/4	2	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
251/2	0.5	42	42	5/8	5/8	3/4	2	1	iii64	F	I		iii64	iii		64					m	0	0	5, 4, 1		4	5
126	0.5	43	43	0	0	3/4	2	1	ii64(2)	F	I		ii64(2)	ii		64	2				m	0	0	3, 4, -1		2	3
253/2	0.5	43	43	1/8	1/8	3/4	2	1	ii64	F	I		ii64	ii		64					m	0	0	3, 2, -1		2	3
127	0.5	43	43	1/4	1/4	3/4	2	1	viio	F	I		viio	vii	o						o	0	0	5, 2, -1		5	5
255/2	0.5	43	43	3/8	3/8	3/4	2	1	V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
128	0.5	43	43	1/2	1/2	3/4	2	1	vi	F	I		vi	vi							m	0	0	3, 0, 4		3	3
257/2	0.5	43	43	5/8	5/8	3/4	2	1	ii6	F	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
129	1.0	44	44	0	0	3/4	2	1	V(64)}	F	I		V(64)	V			64			}	M	0	0	1, 0, 4		1	1
130	2.0	44	44	1/4	1/4	3/4	2	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
132	0.5	45	45	0	0	3/4	2	1	I{	F	I		I	I						{	M	0	0	0, 4, 1		0	0
265/2	0.5	45	45	1/8	1/8	3/4	2	1	viio6	F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
133	2.0	45	45	1/4	1/4	3/4	2	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
135	0.5	46	46	0	0	3/4	2	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
271/2	0.5	46	46	1/8	1/8	3/4	2	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
136	2.0	46	46	1/4	1/4	3/4	2	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
138	2.5	47	47	0	0	3/4	2	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
