quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
188	0.5	63	63	1/2	1/2	3/4	2	1	vi	F	I		vi	vi							m	0	0	3, 0, 4		3	3
377/2	0.5	63	63	5/8	5/8	3/4	2	1	ii6	F	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
189	1.0	64	64	0	0	3/4	2	1	V(64)}	F	I		V(64)	V			64			}	M	0	0	1, 0, 4		1	1
190	2.0	64	64	1/4	1/4	3/4	2	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
192	0.5	65	65	0	0	3/4	2	1	I{	F	I		I	I						{	M	0	0	0, 4, 1		0	0
385/2	0.5	65	65	1/8	1/8	3/4	2	1	viio6	F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
193	2.0	65	65	1/4	1/4	3/4	2	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
195	0.5	66	66	0	0	3/4	2	1	IV6	F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
391/2	0.5	66	66	1/8	1/8	3/4	2	1	viio	F	I		viio	vii	o						o	0	0	5, 2, -1		5	5
196	2.0	66	66	1/4	1/4	3/4	2	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
198	2.0	67	67	0	0	3/4	2	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
200	1.0	67	67	1/2	1/2	3/4	2	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
201	0.5	68	68	0	0	3/4	2	1	V/V	F	I		V/V	V				V			M	0	0	2, 6, 3		2	2
403/2	0.5	68	68	1/8	1/8	3/4	2	1	V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
202	1.0	68	68	1/4	1/4	3/4	2	1	I}	F	I		I	I						}	M	0	0	0, 4, 1		0	0
203	1.0	68	68	1/2	1/2	3/4	2	1	{	F	I									{		0	0				
204	1.0	69	69	0	0	3/4	2	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
205	1.0	69	69	1/4	1/4	3/4	2	1	V65	F	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
206	0.25	69	69	1/2	1/2	3/4	2	1	V43	F	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
825/4	0.25	69	69	9/16	9/16	3/4	2	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
413/2	0.25	69	69	5/8	5/8	3/4	2	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
827/4	0.25	69	69	11/16	11/16	3/4	2	1	vi7	F	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
207	0.25	70	70	0	0	3/4	2	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
829/4	0.25	70	70	1/16	1/16	3/4	2	1	viio/V	F	I		viio/V	vii	o			V			o	0	0	6, 3, 0		6	6
415/2	1.0	70	70	1/8	1/8	3/4	2	1	V2	F	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
417/2	1.0	70	70	3/8	3/8	3/4	2	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
419/2	1.0	70	70	5/8	5/8	3/4	2	1	viio7/V	F	I		viio7/V	vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
421/2	1.5	71	71	1/8	1/8	3/4	2	1	V(64)	F	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
212	1.0	71	71	1/2	1/2	3/4	2	1	V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
213	1.0	72	72	0	0	3/4	2	1	I(974)}	F	I		I(974)	I			974			}	M	0	0	0, -1, 1	2, 5	0	0
214	1.0	72	72	1/4	1/4	3/4	2	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
215	1.0	72	72	1/2	1/2	3/4	2	1	{	F	I									{		0	0				
216	1.0	73	73	0	0	3/4	2	1	V(64)	F	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
217	2.0	73	73	1/4	1/4	3/4	2	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
219	0.25	74	74	0	0	3/4	2	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
877/4	0.25	74	74	1/16	1/16	3/4	2	1	viio6	F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
439/2	1.5	74	74	1/8	1/8	3/4	2	1	viio	F	I		viio	vii	o						o	0	0	5, 2, -1		5	5
221	0.5	74	74	1/2	1/2	3/4	2	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
443/2	0.5	74	74	5/8	5/8	3/4	2	1	viio6	F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
222	0.5	75	75	0	0	3/4	2	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
445/2	0.5	75	75	1/8	1/8	3/4	2	1	ii6	F	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
223	1.0	75	75	1/4	1/4	3/4	2	1	V(64)	F	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
224	1.0	75	75	1/2	1/2	3/4	2	1	V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
225	2.0	76	76	0	0	3/4	2	1	I}{	F	I		I	I						}{	M	0	0	0, 4, 1		0	0
227	1.0	76	76	1/2	1/2	3/4	2	1	V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
228	2.0	77	77	0	0	3/4	2	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
230	1.0	77	77	1/2	1/2	3/4	2	1	V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
231	1.0	78	78	0	0	3/4	2	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
232	1.0	78	78	1/4	1/4	3/4	2	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
233	0.5	78	78	1/2	1/2	3/4	2	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
467/2	0.5	78	78	5/8	5/8	3/4	2	1	V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
234	2.0	79	79	0	0	3/4	2	1	I(974)}	F	I		I(974)	I			974			}	M	0	0	0, -1, 1	2, 5	0	0
236	1.0	79	79	1/2	1/2	3/4	2	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
